id;cadastrado_em;modificado_em;nome;posicao;numeracao;tipo;conta_pai_id;excluido;selecionavel;essencial
110186;2022-02-16 21:54:14.533574+00;2023-01-17 23:19:23.612204+00;Dízimo dos Clérigos (100% conforme FIW 2022/2023);10107;1.01.07;E;3;false;true;false
110173;2019-06-08 22:16:24.652766+00;2022-03-03 04:18:19.844318+00;Dízimo dos Clérigos (25% do Dizimo para a SGAS);10105;1.01.05;E;3;false;false;false
110174;2019-07-08 18:33:55.416794+00;2022-02-18 12:44:19.338752+00;Dízimo dos Clérigos (25% do Dizimo para o Distrito, conforme a Região/Distrito);10106;1.01.06;E;3;false;false;false
110172;2019-06-08 22:15:22.775458+00;2023-01-17 23:20:09.538214+00;Dízimo dos Clérigos (50% do Dizimo para o FIW);10104;1.01.04;E;3;false;false;false
24;2016-09-13 23:22:08.933451+00;2016-10-25 22:19:01.615638+00;EMPRÉSTIMOS;104;1.04;E;1;false;false;false
110083;2016-10-25 22:23:12.687116+00;2016-10-25 22:23:12.687155+00;EMPRÉSTIMOS - Distrito;10405;1.04.05;E;24;false;true;false
26;2016-09-13 23:23:10.515519+00;2016-10-25 22:21:26.344601+00;EMPRÉSTIMOS - FIW - Fundo Imobiliário Wesleyano;10402;1.04.02;E;24;false;true;false
27;2016-09-13 23:23:35.119062+00;2016-10-25 22:21:47.597704+00;EMPRÉSTIMOS - Outras Igrejas;10403;1.04.03;E;24;false;true;false
28;2016-09-13 23:23:59.495337+00;2016-10-25 22:22:11.820573+00;EMPRÉSTIMOS - Outras Secretarias;10404;1.04.04;E;24;false;true;false
29;2016-09-13 23:24:21.539174+00;2016-10-25 22:22:27.856447+00;EMPRÉSTIMOS - Outros;10499;1.04.99;E;24;false;true;false
25;2016-09-13 23:22:41.104516+00;2016-10-25 22:21:05.653346+00;EMPRÉSTIMOS - SGF/SRF - Secretaria de Finanças;10401;1.04.01;E;24;false;true;false
1;2016-05-24 02:07:26.124+00;2016-10-25 22:15:38.373445+00;ENTRADAS;1;1;E;\0;false;false;false
40;2016-09-13 23:29:08.206048+00;2016-10-26 01:57:46.061834+00;IMPOSTO RETIDO;107;1.07;E;1;false;false;false
19;2016-09-13 23:19:38.611092+00;2016-09-14 01:43:49.29514+00;INSTITUIÇÕES;1;1.03;E;1;false;false;false
20;2016-09-13 23:20:06.409019+00;2016-09-19 18:38:35.009825+00;INSTITUIÇÕES - Acampamentos;10301;1.03.01;E;19;false;true;false
21;2016-09-13 23:20:29.558961+00;2016-09-19 18:38:35.017125+00;INSTITUIÇÕES - CEFORTE;10302;1.03.02;E;19;false;true;false
22;2016-09-13 23:20:50.361393+00;2016-09-19 18:38:35.024682+00;INSTITUIÇÕES - Casa Bom Pastor;10303;1.03.03;E;19;false;true;false
110168;2019-03-28 18:43:51.092273+00;2019-03-28 18:43:51.09231+00;INSTITUIÇÕES - Outras IMW;10304;1.03.04;E;19;false;true;false
23;2016-09-13 23:21:27.821888+00;2016-10-25 17:02:09.523476+00;INSTITUIÇÕES - Outras Instituições;10399;1.03.99;E;19;false;true;false
110165;2019-01-09 13:59:16.041403+00;2019-01-09 13:59:16.041442+00;IRRF - Repasse Imposto Retido Clérigos das Igrejas;10703;1.07.03;E;40;false;true;false
110166;2019-01-09 13:59:50.419709+00;2019-01-09 13:59:50.419745+00;IRRF - Repasse Imposto Retido Terceiros das Igrejas;10704;1.07.04;E;40;false;true;false
41;2016-09-13 23:29:39.487126+00;2019-04-16 22:03:36.624804+00;Imposto de Renda Retido - Clérigos;10701;1.07.01;E;40;false;true;true
42;2016-09-13 23:30:01.813888+00;2016-10-25 22:24:28.106872+00;Imposto de Renda Retido - Terceiros;10702;1.07.02;E;40;false;true;false
7;2016-09-13 23:12:15.69972+00;2016-09-14 01:40:50.267395+00;OFERTAS;1;1.02;E;1;false;false;false
30;2016-09-13 23:25:39.670177+00;2016-09-14 01:56:28.080793+00;OUTRAS RECEITAS;1;1.05;E;1;false;false;false
35;2016-09-13 23:27:14.003419+00;2016-09-19 18:38:35.113467+00;OUTRAS RECEITAS - Alugueis;10505;1.05.05;E;30;false;true;false
33;2016-09-13 23:26:28.117137+00;2016-09-19 18:38:35.09809+00;OUTRAS RECEITAS - Bazar;10503;1.05.03;E;30;false;true;false
32;2016-09-13 23:26:11.801563+00;2016-09-19 18:38:35.091242+00;OUTRAS RECEITAS - Cantina;10502;1.05.02;E;30;false;true;false
110176;2019-07-16 19:02:03.174665+00;2019-07-16 19:02:03.174707+00;OUTRAS RECEITAS - Doação do FIW;10508;1.05.08;E;30;false;true;false
31;2016-09-13 23:25:54.529726+00;2016-09-19 18:38:35.084531+00;OUTRAS RECEITAS - Eventos;10501;1.05.01;E;30;false;true;false
34;2016-09-13 23:26:56.726806+00;2016-09-19 18:38:35.105484+00;OUTRAS RECEITAS - Livraria (Bíblias, Livros e CDs);10504;1.05.04;E;30;false;true;false
36;2016-09-13 23:27:28.264337+00;2017-01-09 14:39:02.369195+00;OUTRAS RECEITAS - Outros;10599;1.05.99;E;30;false;true;false
110147;2018-06-30 13:56:41.828219+00;2018-06-30 13:56:41.828252+00;OUTRAS RECEITAS - Restituição de IPTU, ITBI e outros;10507;1.05.07;E;30;false;true;false
235;2016-10-04 18:13:49.185492+00;2016-10-04 18:14:08.876775+00;OUTRAS RECEITAS - Revistas EBD e Cânticos de Adoração;10506;1.05.06;E;30;false;true;false
17;2016-09-13 23:17:48.848073+00;2016-10-25 16:43:10.111972+00;Oferta Geral de Ação Social (Abril);10210;1.02.10;E;7;false;true;false
110116;2017-06-30 18:19:22.188563+00;2017-06-30 18:19:22.188615+00;Oferta Missões Distritais;10213;1.02.13;E;7;false;true;false
16;2016-09-13 23:17:13.255929+00;2017-06-30 18:17:39.139235+00;Oferta Missões Internacionais;10209;1.02.09;E;7;false;true;false
224;2016-09-16 21:26:53.180077+00;2017-06-30 18:18:24.072765+00;Oferta Missões Locais;10211;1.02.11;E;7;false;true;false
