id;cadastrado_em;modificado_em;excluido;codigo_host;data_nomeacao;data_termino;hist_distrito_id;hist_geral_id;hist_igreja_id;hist_orgao_id;hist_regiao_id;hist_secretaria_id;instituicao_id;pessoa_id;funcao_ministerial_id
2405;2016-11-11 19:04:01.668495+00;2021-06-03 19:28:57.725736+00;false;3047;14/12/2014;10/12/2016;1803;\0;2139;\0;18;\0;2139;215;9
5537;2021-06-03 19:30:53.965745+00;2021-06-03 19:30:53.965797+00;false;\0;10/12/2016;28/11/2020;1803;\0;2139;\0;18;\0;2139;215;20
5539;2021-06-03 19:38:43.297065+00;2021-06-03 19:38:43.29711+00;false;\0;06/01/2007;07/12/2008;1793;\0;2145;\0;18;\0;2145;245;13
5540;2021-06-03 19:40:58.475581+00;2021-06-03 19:40:58.475625+00;false;\0;07/12/2008;05/12/2010;1793;\0;2145;\0;18;\0;2145;245;10
5541;2021-06-03 19:43:39.099965+00;2021-06-03 19:43:39.100042+00;false;\0;05/12/2010;09/12/2012;1793;\0;2516;\0;18;\0;2516;245;9
5481;2021-05-27 14:43:03.241822+00;2022-01-19 18:40:32.113223+00;false;\0;28/11/2020;27/12/2021;1797;\0;2142;\0;18;\0;2142;1556;23
5498;2021-05-31 14:12:28.606901+00;2022-01-19 19:19:06.357038+00;false;\0;03/01/2017;27/12/2021;\0;\0;\0;2753;\0;\0;2753;205;21
5485;2021-05-27 15:03:54.787965+00;2022-01-20 18:51:47.034199+00;false;\0;28/11/2020;27/12/2021;1803;\0;2182;\0;18;\0;2182;1621;28
5484;2021-05-27 15:03:04.628163+00;2022-01-20 18:52:37.699201+00;false;\0;28/11/2020;27/12/2021;1803;\0;2570;\0;18;\0;2570;1621;28
5542;2021-06-03 19:47:48.741288+00;2021-06-03 19:47:48.741358+00;false;\0;09/12/2012;01/12/2018;1823;\0;2146;\0;18;\0;2146;245;9
5543;2021-06-03 19:48:42.890301+00;2021-06-03 19:48:42.890348+00;false;\0;01/12/2018;\0;1793;\0;2145;\0;18;\0;2145;245;23
5544;2021-06-04 13:08:45.027586+00;2021-06-04 13:08:45.027663+00;false;\0;14/12/2014;10/12/2016;1794;\0;2148;\0;18;\0;2148;1221;23
5545;2021-06-04 13:26:29.14068+00;2021-06-04 13:26:29.140752+00;false;\0;01/12/2018;28/11/2020;1803;\0;2133;\0;18;\0;2133;1221;19
