id;cadastrado_em;modificado_em;excluido;data_hora;total_entradas;total_saidas;saldo_anterior;saldo_final;estorno;auditado;caixa_id;instituicao_id;ano;mes;total_transf_entradas;total_transf_saidas;aux_data_hora;aux_saldo_anterior;aux_saldo_final;aux_total_entradas;aux_total_saidas;aux_total_transf_entradas;aux_total_transf_saidas
213591;2024-01-16 01:49:42.566969+00;2024-01-16 01:49:42.566993+00;false;2023-12-01 03:00:00+00;0;0;3257,87;3257,87;false;false;3109;2080;2023;12;0;0;\0;0;0;0;0;0;0
213592;2024-01-16 01:49:42.572635+00;2024-01-16 01:49:42.572664+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3110;2080;2023;12;0;0;\0;0;0;0;0;0;0
213593;2024-01-16 01:49:42.578067+00;2024-01-16 01:49:42.578099+00;false;2023-12-01 03:00:00+00;0;0;160;160;false;false;3322;2080;2023;12;0;0;\0;0;0;0;0;0;0
213594;2024-01-16 01:49:42.583314+00;2024-01-16 01:49:42.583337+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3512;2080;2023;12;0;0;\0;0;0;0;0;0;0
213595;2024-01-16 01:49:42.589009+00;2024-01-16 01:49:42.589037+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3528;2080;2023;12;0;0;\0;0;0;0;0;0;0
213596;2024-01-16 01:49:42.594886+00;2024-01-16 01:49:42.594918+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3531;2080;2023;12;0;0;\0;0;0;0;0;0;0
213597;2024-01-16 01:49:42.60267+00;2024-01-16 01:49:42.602715+00;false;2023-12-01 03:00:00+00;0;0;4000,13;4000,13;false;false;3724;2080;2023;12;0;0;\0;0;0;0;0;0;0
213598;2024-01-16 01:49:42.609822+00;2024-01-16 01:49:42.609853+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3725;2080;2023;12;0;0;\0;0;0;0;0;0;0
213599;2024-01-16 01:49:42.615175+00;2024-01-16 01:49:42.615203+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;3726;2080;2023;12;0;0;\0;0;0;0;0;0;0
213600;2024-01-16 01:49:42.620395+00;2024-01-16 01:49:42.62042+00;false;2023-12-01 03:00:00+00;0;0;2019,4;2019,4;false;false;3727;2080;2023;12;0;0;\0;0;0;0;0;0;0
213601;2024-01-16 01:49:42.626033+00;2024-01-16 01:49:42.62606+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4811;2080;2023;12;0;0;\0;0;0;0;0;0;0
213602;2024-01-16 01:49:42.632253+00;2024-01-16 01:49:42.632288+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4869;2080;2023;12;0;0;\0;0;0;0;0;0;0
213603;2024-01-16 01:49:42.638384+00;2024-01-16 01:49:42.638412+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4870;2080;2023;12;0;0;\0;0;0;0;0;0;0
213604;2024-01-16 01:49:42.644668+00;2024-01-16 01:49:42.644695+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4871;2080;2023;12;0;0;\0;0;0;0;0;0;0
213605;2024-01-16 01:49:42.650442+00;2024-01-16 01:49:42.650484+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4887;2080;2023;12;0;0;\0;0;0;0;0;0;0
213606;2024-01-16 01:49:42.659366+00;2024-01-16 01:49:42.659569+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4888;2080;2023;12;0;0;\0;0;0;0;0;0;0
213607;2024-01-16 01:49:42.668603+00;2024-01-16 01:49:42.668642+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;4901;2080;2023;12;0;0;\0;0;0;0;0;0;0
213608;2024-01-16 01:49:42.675754+00;2024-01-16 01:49:42.675791+00;false;2023-12-01 03:00:00+00;0;0;50000;50000;false;false;5030;2080;2023;12;0;0;\0;0;0;0;0;0;0
213609;2024-01-16 01:49:42.682163+00;2024-01-16 01:49:42.682203+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;5068;2080;2023;12;0;0;\0;0;0;0;0;0;0
213610;2024-01-16 01:49:42.689392+00;2024-01-16 01:49:42.689418+00;false;2023-12-01 03:00:00+00;0;0;0;0;false;false;5131;2080;2023;12;0;0;\0;0;0;0;0;0;0
